,attacking rate,defending rate,tour,season,date,match_id,result
0,1478.1571747375538,1639.3681293497248,1,2014,2014-08-16 15:00:00,4752,victory (0:1) against Stoke
1,1372.0008358087994,1658.790888093647,2,2014,2014-08-23 12:45:00,4759,draw (0:0) against Newcastle United
2,1280.927458146406,1697.9608065124557,3,2014,2014-08-31 13:30:00,4776,victory (2:1) against Hull
3,1307.9300255969954,1753.8677241571163,4,2014,2014-09-13 17:30:00,4726,victory (0:1) against Liverpool
4,1294.7483068019615,1728.3707397634598,5,2014,2014-09-20 15:00:00,4731,defeat (0:3) against Arsenal
5,1282.5733233281042,1679.7167731049008,6,2014,2014-09-27 15:00:00,4742,defeat (3:0) against Chelsea
6,1290.9591107567137,1621.0253871133855,7,2014,2014-10-04 17:30:00,4694,defeat (0:2) against Manchester City
7,1271.389324390222,1604.2158002307528,8,2014,2014-10-18 15:00:00,4700,defeat (3:0) against Everton
8,1291.1481615045739,1621.653214683703,9,2014,2014-10-27 20:00:00,4718,defeat (2:0) against Queens Park Rangers
9,1296.517716549505,1572.6617167421632,10,2014,2014-11-02 16:00:00,4657,defeat (1:2) against Tottenham
10,1296.7530557701139,1568.1204720399764,11,2014,2014-11-08 15:00:00,4662,draw (0:0) against West Ham
11,1325.8259260115403,1576.852397275703,12,2014,2014-11-24 20:00:00,4678,draw (1:1) against Southampton
12,1339.1991654741857,1546.0546395558574,13,2014,2014-11-29 15:00:00,4685,draw (1:1) against Burnley
13,1322.9875188608735,1560.619359131443,14,2014,2014-12-02 20:00:00,4593,victory (0:1) against Crystal Palace
14,1348.9674403565184,1554.2077975200602,15,2014,2014-12-07 16:00:00,4607,victory (2:1) against Leicester
15,1338.4064558494026,1542.2595974450944,16,2014,2014-12-13 15:00:00,4612,defeat (1:0) against West Bromwich Albion
16,1328.976418821049,1541.3971929575027,17,2014,2014-12-20 15:00:00,4624,draw (1:1) against Manchester United
17,1353.11708759932,1555.9683555977558,18,2014,2014-12-26 15:00:00,4631,defeat (1:0) against Swansea
18,1350.1877341126642,1552.49910800627,19,2014,2014-12-28 15:00:00,4644,draw (0:0) against Sunderland
19,1366.7587139946675,1557.1185318289783,20,2014,2015-01-01 15:00:00,4557,draw (0:0) against Crystal Palace
20,1358.024176570858,1537.2291007221538,21,2014,2015-01-10 15:00:00,4567,defeat (1:0) against Leicester
21,1358.8167805994613,1528.044085291435,22,2014,2015-01-17 15:00:00,4571,defeat (0:2) against Liverpool
22,1364.1377327287141,1524.573569012014,23,2014,2015-02-01 13:30:00,4513,defeat (5:0) against Arsenal
23,1368.0747812458455,1530.787364835919,24,2014,2015-02-07 15:00:00,4516,defeat (1:2) against Chelsea
24,1362.1686763388864,1529.0430340080777,25,2014,2015-02-10 19:45:00,4527,defeat (2:0) against Hull
25,1348.7402256152802,1525.0864141554828,26,2014,2015-02-21 15:00:00,4535,defeat (1:2) against Stoke
26,1351.8159464846603,1530.2743488827882,27,2014,2015-02-28 15:00:00,4548,defeat (1:0) against Newcastle United
27,1371.35578653627,1528.6196445745852,28,2014,2015-03-03 19:45:00,4482,victory (2:1) against West Bromwich Albion
28,1388.2035706642919,1538.6820883095209,29,2014,2015-03-14 15:00:00,4497,victory (0:4) against Sunderland
29,1381.0604091742753,1523.2359353523086,30,2014,2015-03-21 15:00:00,4504,defeat (0:1) against Swansea
30,1376.4289652499479,1518.8838114274624,31,2014,2015-04-04 15:00:00,4443,defeat (3:1) against Manchester United
31,1384.0068832131128,1512.3218137142062,32,2014,2015-04-07 19:45:00,4450,draw (3:3) against Queens Park Rangers
32,1384.0708479383638,1526.2777006609786,32,2014,2015-04-11 15:00:00,4455,victory (0:1) against Tottenham
33,1390.29249015108,1534.921885295648,34,2014,2015-04-25 17:30:00,4475,defeat (3:2) against Manchester City
34,1400.0147572699734,1528.0448032589018,35,2014,2015-05-02 15:00:00,4401,victory (3:2) against Everton
35,1401.648214392966,1539.6099850769556,36,2014,2015-05-09 15:00:00,4411,victory (1:0) against West Ham
36,1412.24372175948,1528.330574259271,37,2014,2015-05-16 12:45:00,4419,defeat (6:1) against Southampton
37,1401.6368678509887,1531.6530561521886,38,2014,2015-05-24 15:00:00,4430,defeat (0:1) against Burnley
38,1393.747003872112,1543.3134141316102,1,2015,2015-08-08 18:00:00,82,victory (0:1) against Bournemouth
39,1367.8288460321933,1561.143190539965,2,2015,2015-08-14 22:45:00,91,defeat (0:1) against Manchester United
40,1370.5774759845365,1562.5795420047175,3,2015,2015-08-22 18:00:00,104,defeat (2:1) against Crystal Palace
41,1401.1171344770448,1575.1451367397137,4,2015,2015-08-29 18:00:00,113,draw (2:2) against Sunderland
42,1407.1102638941297,1570.2658395646106,5,2015,2015-09-13 19:00:00,129,defeat (3:2) against Leicester
43,1398.63785822838,1572.2886580897161,6,2015,2015-09-19 18:00:00,133,defeat (0:1) against West Bromwich Albion
44,1409.575629314023,1559.5457985471849,7,2015,2015-09-26 18:00:00,145,defeat (3:2) against Liverpool
45,1401.0289794095709,1554.3666640511276,8,2015,2015-10-03 18:00:00,152,defeat (0:1) against Stoke
46,1403.4836770117222,1557.3312295313224,9,2015,2015-10-17 18:00:00,164,defeat (2:0) against Chelsea
47,1404.015655155153,1538.1751877578079,10,2015,2015-10-24 18:00:00,171,defeat (1:2) against Swansea
48,1396.12342216092,1546.7654535970103,11,2015,2015-11-03 00:00:00,190,defeat (3:1) against Tottenham
49,1384.5998549184203,1547.6239935678811,12,2015,2015-11-08 17:30:00,198,draw (0:0) against Manchester City
50,1376.9380874752894,1529.8901101178021,13,2015,2015-11-21 19:00:00,206,defeat (4:0) against Everton
51,1388.8652771279874,1517.9581240863288,14,2015,2015-11-28 19:00:00,212,defeat (2:3) against Watford
52,1398.0787158860824,1506.8491429431103,15,2015,2015-12-05 19:00:00,227,draw (1:1) against Southampton
53,1404.3417996740004,1507.7893943431268,16,2015,2015-12-13 17:30:00,237,defeat (0:2) against Arsenal
54,1393.6985722820443,1505.5304971757694,17,2015,2015-12-19 21:30:00,247,draw (1:1) against Newcastle United
55,1400.4693724030992,1508.608859882655,18,2015,2015-12-26 19:00:00,254,draw (1:1) against West Ham
56,1387.3372080579593,1511.420187822924,19,2015,2015-12-28 19:00:00,263,defeat (2:0) against Norwich
57,1374.975915879076,1518.0219451239154,20,2015,2016-01-02 19:00:00,277,defeat (3:1) against Sunderland
58,1367.548852975117,1524.7143193425236,21,2015,2016-01-12 23:45:00,282,victory (1:0) against Crystal Palace
59,1362.4660483841371,1514.7686472405817,22,2015,2016-01-16 21:30:00,297,draw (1:1) against Leicester
60,1359.437824537624,1527.2730668515608,23,2015,2016-01-23 19:00:00,305,draw (0:0) against West Bromwich Albion
61,1350.55117488176,1518.6818817116048,24,2015,2016-02-02 23:45:00,315,defeat (2:0) against West Ham
62,1346.639930723631,1515.104565211209,25,2015,2016-02-06 19:00:00,326,victory (2:0) against Norwich
63,1340.6176614421386,1506.0291164263447,26,2015,2016-02-14 18:05:00,339,defeat (0:6) against Liverpool
64,1337.718725307434,1499.8126825875975,27,2015,2016-02-27 19:00:00,345,defeat (2:1) against Stoke
65,1333.6392560888974,1489.4805706134662,28,2015,2016-03-01 23:45:00,349,defeat (1:3) against Everton
66,1330.1815085886706,1485.1669586374687,28,2015,2016-03-05 19:00:00,364,defeat (4:0) against Manchester City
67,1344.3212681857926,1479.6853404373574,30,2015,2016-03-13 20:00:00,372,defeat (0:2) against Tottenham
68,1345.2004457703174,1489.2421519079937,31,2015,2016-03-19 21:30:00,379,defeat (1:0) against Swansea
69,1345.1273275394342,1481.245629365962,32,2015,2016-04-02 15:45:00,384,defeat (0:4) against Chelsea
70,1337.3777382767353,1480.7058946033428,33,2015,2016-04-09 18:00:00,398,defeat (1:2) against Bournemouth
71,1335.074859108118,1484.5512679012706,33,2015,2016-04-16 18:00:00,406,defeat (1:0) against Manchester United
72,1343.829082515307,1474.7758646371265,35,2015,2016-04-23 18:00:00,421,defeat (2:4) against Southampton
73,1342.2719453977254,1474.8881333027375,35,2015,2016-04-30 18:00:00,430,defeat (3:2) against Watford
74,1333.1916529003647,1472.9304248297474,37,2015,2016-05-07 18:00:00,440,draw (0:0) against Newcastle United
75,1331.401772906789,1469.4426076614284,38,2015,2016-05-15 18:00:00,451,defeat (4:0) against Arsenal
76,1404.6863551875917,1351.4498050832058,1,2019,2019-08-10 17:30:00,11649,defeat (3:1) against Tottenham
77,1442.3513095034994,1343.9653150317722,2,2019,2019-08-17 15:00:00,11654,defeat (1:2) against Bournemouth
78,1421.4614086348702,1365.8460872646754,3,2019,2019-08-23 20:00:00,11663,victory (2:0) against Everton
79,1378.2592482649095,1381.445451152136,4,2019,2019-08-31 15:00:00,11676,defeat (1:0) against Crystal Palace
80,1382.627656210789,1453.0233628865763,5,2019,2019-09-16 19:00:00,11692,draw (0:0) against West Ham
81,1427.1190193806624,1431.4133745722959,6,2019,2019-09-22 15:30:00,11702,defeat (3:2) against Arsenal
82,1415.9036246153564,1408.0746100608185,7,2019,2019-09-28 14:00:00,11706,draw (2:2) against Burnley
83,1455.603458412425,1405.0700151729957,8,2019,2019-10-05 15:00:00,11717,victory (1:5) against Norwich
84,1491.396592979451,1403.2291277070847,9,2019,2019-10-19 15:00:00,11723,victory (2:1) against Brighton
85,1503.187591979226,1400.3662912592786,10,2019,2019-10-26 12:30:00,11737,defeat (3:0) against Manchester City
86,1496.6736396892077,1394.1725163921733,11,2019,2019-11-02 15:00:00,11744,defeat (1:2) against Liverpool
