,attacking rate,defending rate,tour,season,date,match_id,result
0,1320.1764492040954,1407.6015389757697,1,2017,2017-08-12 17:30:00,7126,defeat (0:2) against Manchester City
1,1256.7535289556436,1386.0132188412438,2,2017,2017-08-19 15:00:00,7133,defeat (2:0) against Leicester
2,1306.9487005292488,1531.9684358875597,3,2017,2017-08-26 15:00:00,7143,draw (0:0) against Watford
3,1269.483570769,1526.0344203763134,4,2017,2017-09-09 15:00:00,7153,victory (3:1) against West Bromwich Albion
4,1281.2873897047705,1505.80568037822,5,2017,2017-09-15 20:00:00,7159,defeat (2:1) against Bournemouth
5,1267.9947642043026,1490.1465933976376,6,2017,2017-09-24 16:00:00,7177,victory (1:0) against Newcastle United
6,1262.3137971264819,1474.86535660115,7,2017,2017-10-01 12:00:00,7186,defeat (2:0) against Arsenal
7,1289.5019606175492,1459.5063868323298,8,2017,2017-10-15 13:30:00,7189,draw (1:1) against Everton
8,1352.295785111657,1495.845057981413,9,2017,2017-10-20 20:00:00,7208,victory (0:3) against West Ham
9,1378.420300844178,1518.781018751517,10,2017,2017-10-29 13:30:00,7211,draw (1:1) against Southampton
10,1379.6889877041972,1512.304944804806,11,2017,2017-11-04 15:00:00,7225,victory (0:1) against Swansea
11,1356.206613773567,1505.0965292555093,12,2017,2017-11-20 20:00:00,7238,draw (2:2) against Stoke
12,1357.5698966489304,1511.040032441134,13,2017,2017-11-25 15:00:00,7243,defeat (1:0) against Manchester United
13,1343.8073758260277,1525.4780749527317,14,2017,2017-11-28 19:45:00,7250,draw (0:0) against Crystal Palace
14,1372.1978510922809,1522.3857496314736,15,2017,2017-12-02 15:00:00,7268,defeat (1:5) against Liverpool
15,1360.923661591215,1492.3194948250882,16,2017,2017-12-09 15:00:00,7274,defeat (2:0) against Huddersfield
16,1358.223587075583,1492.3532899622662,17,2017,2017-12-13 20:00:00,7288,defeat (2:0) against Tottenham
17,1373.0842219642245,1477.3910347578105,18,2017,2017-12-16 15:00:00,7291,draw (0:0) against Burnley
18,1380.6493936857723,1474.4075360657953,19,2017,2017-12-23 15:00:00,7305,victory (1:0) against Watford
19,1380.8471863702305,1470.5885933184124,20,2017,2017-12-26 15:00:00,7310,defeat (2:0) against Chelsea
20,1376.981421879044,1484.0120120695206,21,2017,2017-12-30 15:00:00,7325,draw (0:0) against Newcastle United
21,1393.4772781273791,1477.2910437005921,22,2017,2018-01-01 12:30:00,7331,draw (2:2) against Bournemouth
22,1389.870719583575,1474.4597178080558,23,2017,2018-01-13 15:00:00,7348,defeat (2:0) against West Bromwich Albion
23,1394.9142033036944,1473.2037668140815,24,2017,2018-01-20 12:30:00,7350,defeat (0:4) against Chelsea
24,1401.7729211340024,1475.90425462608,25,2017,2018-01-31 19:45:00,7363,draw (1:1) against Southampton
25,1409.048546233994,1485.0417127486364,26,2017,2018-02-03 15:00:00,7371,victory (3:1) against West Ham
26,1408.1324007202086,1484.4228220130292,27,2017,2018-02-10 15:00:00,7385,draw (1:1) against Stoke
27,1423.7010136719061,1489.6765249589826,28,2017,2018-02-24 15:00:00,7391,victory (4:1) against Swansea
28,1430.1750743441644,1499.5753998667353,29,2017,2018-03-04 13:30:00,7399,victory (2:1) against Arsenal
29,1420.9560334293242,1495.9852197915623,30,2017,2018-03-10 15:00:00,7412,defeat (2:0) against Everton
30,1428.691051787159,1494.7709824729757,31,2017,2018-03-31 15:00:00,7430,defeat (0:2) against Leicester
31,1433.5621233018235,1484.5538995796533,32,2017,2018-04-07 14:00:00,7441,draw (1:1) against Huddersfield
32,1443.9282180982311,1478.9916820098217,34,2017,2018-04-14 14:00:00,7450,defeat (3:2) against Crystal Palace
33,1447.3899951421156,1481.6298799969454,34,2017,2018-04-17 18:45:00,7462,draw (1:1) against Tottenham
34,1440.9058337736183,1477.4851484615544,36,2017,2018-04-28 14:00:00,7469,draw (0:0) against Burnley
35,1440.301850646749,1486.7665360139874,36,2017,2018-05-04 20:00:00,7484,victory (1:0) against Manchester United
36,1447.8219300389198,1491.2084392998495,37,2017,2018-05-09 20:00:00,7424,defeat (3:1) against Manchester City
37,1442.8032805196804,1487.5198077260736,38,2017,2018-05-13 15:00:00,7495,defeat (4:0) against Liverpool
38,1418.420233846945,1486.6876811923473,1,2018,2018-08-11 17:00:00,9199,defeat (2:0) against Watford
39,1444.1771183788396,1476.138883991453,2,2018,2018-08-19 18:00:00,9215,victory (3:2) against Manchester United
40,1443.5163052141006,1485.8208334829847,3,2018,2018-08-25 19:30:00,9223,defeat (1:0) against Liverpool
41,1464.369395927394,1473.9314942542624,4,2018,2018-09-01 14:00:00,9233,draw (2:2) against Fulham
42,1494.7059241016625,1458.9720822182344,5,2018,2018-09-17 19:00:00,9246,draw (2:2) against Southampton
43,1486.0497884194067,1449.1383084795582,6,2018,2018-09-22 16:30:00,9254,defeat (1:2) against Tottenham
44,1478.89350800674,1446.6169137745783,7,2018,2018-09-29 14:00:00,9260,defeat (2:0) against Manchester City
45,1467.0845018469176,1436.5657946677238,8,2018,2018-10-05 19:00:00,9267,victory (1:0) against West Ham
46,1459.0534488856954,1426.995145584006,9,2018,2018-10-20 14:00:00,9280,victory (0:1) against Newcastle United
47,1464.5812191744553,1422.8559016857162,10,2018,2018-10-27 14:00:00,9290,victory (1:0) against Wolverhampton Wanderers
48,1456.3924510594015,1411.257016452597,11,2018,2018-11-03 15:00:00,9301,defeat (3:1) against Everton
49,1448.5485368152258,1404.508912920647,12,2018,2018-11-10 12:30:00,9307,defeat (2:1) against Cardiff
50,1441.9294429057018,1410.8173972805266,13,2018,2018-11-24 15:00:00,9322,draw (1:1) against Leicester
51,1459.1627942886598,1422.1439381529335,14,2018,2018-12-01 15:00:00,9332,victory (1:2) against Huddersfield
52,1460.6889941006227,1417.7676341406077,15,2018,2018-12-04 19:45:00,9337,victory (3:1) against Crystal Palace
53,1454.9693425084286,1409.661627548279,16,2018,2018-12-08 15:00:00,9354,defeat (1:0) against Burnley
54,1444.8277129910516,1411.5121367065394,17,2018,2018-12-16 13:30:00,9366,defeat (1:2) against Chelsea
55,1441.0817635560097,1425.6539724632098,18,2018,2018-12-22 15:00:00,9375,defeat (2:0) against Bournemouth
56,1445.1222936937368,1439.0420457531409,19,2018,2018-12-26 17:15:00,9386,draw (1:1) against Arsenal
57,1449.0621908570215,1450.9083549894176,20,2018,2018-12-29 15:00:00,9396,victory (1:0) against Everton
58,1443.1409887705872,1465.2292471846222,21,2018,2019-01-02 19:45:00,9398,draw (2:2) against West Ham
