,attacking rate,defending rate,tour,season,date,match_id,result
0,1413.110661236279,1498.4053041685763,1,2014,2014-08-16 17:30:00,4755,defeat (2:1) against Arsenal
1,1348.1802301454697,1490.6420991204352,2,2014,2014-08-23 15:00:00,4761,defeat (1:3) against West Ham
2,1463.6680676423307,1460.9730757617779,3,2014,2014-08-30 15:00:00,4771,draw (3:3) against Newcastle United
3,1418.3355413819909,1419.3265850637497,4,2014,2014-09-13 15:00:00,4721,draw (0:0) against Burnley
4,1483.1460090152889,1387.5057088547069,5,2014,2014-09-21 16:00:00,4738,victory (2:3) against Everton
5,1502.9555202234956,1457.9358300603712,6,2014,2014-09-27 15:00:00,4743,victory (2:0) against Leicester
6,1465.6262015959844,1462.528322549352,7,2014,2014-10-04 15:00:00,4689,defeat (2:0) against Hull
7,1490.258168876056,1505.3371629759429,8,2014,2014-10-18 15:00:00,4702,defeat (1:2) against Chelsea
8,1533.3906369539145,1495.803595285959,9,2014,2014-10-25 15:00:00,4712,draw (2:2) against West Bromwich Albion
9,1502.6875751273208,1500.5938600199659,10,2014,2014-11-03 20:00:00,4658,defeat (1:3) against Sunderland
10,1482.4845745349007,1518.178479032163,11,2014,2014-11-08 15:00:00,4661,defeat (1:0) against Manchester United
11,1491.115140131841,1516.734592722821,12,2014,2014-11-23 13:30:00,4676,victory (3:1) against Liverpool
12,1508.1985609500873,1505.910986986185,13,2014,2014-11-29 15:00:00,4681,draw (1:1) against Swansea
13,1493.1174035443796,1519.00286145188,14,2014,2014-12-02 20:00:00,4593,defeat (0:1) against Aston Villa
14,1499.9603257467525,1536.6979059035245,15,2014,2014-12-06 15:00:00,4602,draw (0:0) against Tottenham
15,1475.348922084252,1543.5223205302352,16,2014,2014-12-13 15:00:00,4611,draw (1:1) against Stoke
16,1475.8430984268455,1554.2431433992253,17,2014,2014-12-20 12:45:00,4619,defeat (3:0) against Manchester City
17,1461.3052407052417,1548.7853396343646,18,2014,2014-12-26 15:00:00,4635,defeat (1:3) against Southampton
18,1439.2403613143563,1572.3368362341077,19,2014,2014-12-28 15:00:00,4641,draw (0:0) against Queens Park Rangers
19,1434.547889782415,1558.3615106713833,20,2014,2015-01-01 15:00:00,4557,draw (0:0) against Aston Villa
20,1453.1375503511074,1561.0440652312952,21,2014,2015-01-10 17:30:00,4568,victory (2:1) against Tottenham
21,1441.2414455406338,1560.829896215576,22,2014,2015-01-17 15:00:00,4572,victory (2:3) against Burnley
22,1441.8658678823156,1551.1748452208715,23,2014,2015-01-31 15:00:00,4587,defeat (0:1) against Everton
23,1441.0459798540408,1556.8296248403915,24,2014,2015-02-07 15:00:00,4518,victory (0:1) against Leicester
24,1437.5155089630803,1565.2512113212204,25,2014,2015-02-11 20:00:00,4533,draw (1:1) against Newcastle United
25,1456.2320578223712,1556.5541079283655,26,2014,2015-02-21 15:00:00,4537,defeat (1:2) against Arsenal
26,1454.1988923449358,1556.6061490041368,27,2014,2015-02-28 12:45:00,4545,victory (1:3) against West Ham
27,1451.491990859907,1546.539643213025,28,2014,2015-03-03 19:45:00,4484,defeat (1:0) against Southampton
28,1458.229571227491,1557.6759265196736,29,2014,2015-03-14 12:45:00,4493,victory (3:1) against Queens Park Rangers
29,1476.8112575262437,1545.7282750965326,30,2014,2015-03-21 15:00:00,4507,victory (1:2) against Stoke
30,1482.5393523878936,1550.8655320658247,31,2014,2015-04-06 20:00:00,4449,victory (2:1) against Manchester City
31,1499.0493416933116,1556.1429338616445,32,2014,2015-04-11 15:00:00,4452,victory (1:4) against Sunderland
32,1507.3132341858234,1557.175319156324,33,2014,2015-04-18 15:00:00,4462,defeat (0:2) against West Bromwich Albion
33,1502.0108998189025,1536.9187761485266,34,2014,2015-04-25 15:00:00,4474,defeat (0:2) against Hull
34,1498.8991926618505,1538.3543315337254,35,2014,2015-05-03 13:30:00,4406,defeat (1:0) against Chelsea
35,1498.448933834662,1527.3086519424685,36,2014,2015-05-09 17:30:00,4415,defeat (1:2) against Manchester United
36,1514.6713486143722,1532.1770652394707,37,2014,2015-05-16 17:30:00,4425,victory (1:3) against Liverpool
37,1509.153477866472,1541.8796840004602,38,2014,2015-05-24 15:00:00,4432,victory (1:0) against Swansea
38,1536.2496510472922,1541.8803775919855,1,2015,2015-08-08 18:00:00,85,victory (1:3) against Norwich
39,1530.6471579940032,1518.3867731996563,2,2015,2015-08-16 16:30:00,98,defeat (1:2) against Arsenal
40,1529.2108062887692,1515.6774262360225,3,2015,2015-08-22 18:00:00,104,victory (2:1) against Aston Villa
41,1564.4211887745703,1524.7080293976555,4,2015,2015-08-29 18:00:00,115,victory (1:2) against Chelsea
42,1551.4772583155054,1503.7703718893256,5,2015,2015-09-12 18:00:00,123,defeat (0:1) against Manchester City
43,1530.9894631845905,1522.8507996322112,6,2015,2015-09-20 16:30:00,138,defeat (1:0) against Tottenham
44,1564.8266812263012,1537.6647076429183,7,2015,2015-09-27 19:00:00,149,victory (0:1) against Watford
45,1570.7157070825363,1551.5384149194897,8,2015,2015-10-03 15:45:00,151,victory (2:0) against West Bromwich Albion
46,1555.9232714780605,1521.080775537602,9,2015,2015-10-17 18:00:00,165,defeat (1:3) against West Ham
47,1532.4117681963492,1526.2916601129607,10,2015,2015-10-24 18:00:00,172,defeat (1:0) against Leicester
48,1529.9580578427306,1544.416487220757,11,2015,2015-10-31 19:00:00,182,draw (0:0) against Manchester United
49,1531.0898424098737,1531.9723204061204,12,2015,2015-11-08 20:00:00,200,victory (1:2) against Liverpool
50,1507.989826453351,1519.3073128307287,13,2015,2015-11-24 00:00:00,210,defeat (0:1) against Sunderland
51,1508.0952837859338,1519.2866911137567,14,2015,2015-11-28 19:00:00,214,victory (5:1) against Newcastle United
52,1512.94666979079,1514.075668034022,15,2015,2015-12-08 00:00:00,230,draw (1:1) against Everton
53,1514.1957671861946,1520.7395303689711,16,2015,2015-12-12 19:00:00,234,victory (1:0) against Southampton
54,1530.3906299466983,1509.5407218367388,17,2015,2015-12-19 19:00:00,243,victory (1:2) against Stoke
55,1515.9545803734795,1515.3446288136913,18,2015,2015-12-26 19:00:00,255,draw (0:0) against Bournemouth
56,1504.8237288454177,1526.3951150551065,19,2015,2015-12-28 19:00:00,264,draw (0:0) against Swansea
57,1494.4840004429705,1512.9293359014055,20,2015,2016-01-03 17:30:00,279,defeat (0:3) against Chelsea
58,1487.6155359299023,1519.9883769599646,21,2015,2016-01-12 23:45:00,282,defeat (1:0) against Aston Villa
