,attacking rate,defending rate,tour,season,date,match_id,result
0,1468.0142731301537,1535.945627416206,1,2014,2014-08-16 15:00:00,4750,draw (2:2) against Leicester
1,1533.1885735081428,1513.3218885439192,2,2014,2014-08-23 17:30:00,4764,draw (2:2) against Arsenal
2,1588.84716606193,1482.4921980711356,3,2014,2014-08-30 17:30:00,4775,defeat (3:6) against Chelsea
3,1543.700191122841,1542.9687235111808,4,2014,2014-09-13 15:00:00,4725,victory (0:2) against West Bromwich Albion
4,1575.2908987380952,1481.1501961641989,5,2014,2014-09-21 16:00:00,4738,defeat (2:3) against Crystal Palace
5,1539.7657768398617,1484.355616280204,6,2014,2014-09-27 12:45:00,4739,draw (1:1) against Liverpool
6,1593.1438140175521,1467.7438837670377,7,2014,2014-10-05 12:00:00,4695,defeat (2:1) against Manchester United
7,1609.9059549167303,1483.3173322951538,8,2014,2014-10-18 15:00:00,4700,victory (3:0) against Aston Villa
8,1601.2753012486473,1464.858614074301,9,2014,2014-10-26 13:30:00,4716,victory (1:3) against Burnley
9,1581.5933687980582,1479.5031580500345,10,2014,2014-11-01 15:00:00,4654,draw (0:0) against Swansea
10,1587.7994780341564,1505.7357878638086,11,2014,2014-11-09 13:30:00,4665,draw (1:1) against Sunderland
11,1595.9831978638013,1508.5940675610434,12,2014,2014-11-22 15:00:00,4673,victory (2:1) against West Ham
12,1584.5490856143483,1525.5798479119028,13,2014,2014-11-30 16:00:00,4688,defeat (2:1) against Tottenham
13,1573.2472758878032,1534.0906210288276,14,2014,2014-12-03 19:45:00,4596,draw (1:1) against Hull
14,1552.3399964335897,1531.7767121193688,15,2014,2014-12-06 17:30:00,4605,defeat (1:0) against Manchester City
15,1521.5780197132012,1532.0256008908261,16,2014,2014-12-15 20:00:00,4618,victory (3:1) against Queens Park Rangers
16,1516.138204460749,1519.7037436889736,17,2014,2014-12-20 15:00:00,4623,defeat (3:0) against Southampton
17,1508.1777199065805,1512.602547480225,18,2014,2014-12-26 15:00:00,4634,defeat (0:1) against Stoke
18,1508.5370468334163,1506.552860862913,19,2014,2014-12-28 16:15:00,4647,defeat (3:2) against Newcastle United
19,1505.8549449421298,1485.7860790848515,20,2014,2015-01-01 15:00:00,4558,defeat (2:0) against Hull
20,1499.8019706020302,1489.8058530633189,21,2014,2015-01-10 15:00:00,4566,draw (1:1) against Manchester City
21,1504.2949059641808,1505.5134147304814,22,2014,2015-01-19 20:00:00,4580,draw (0:0) against West Bromwich Albion
22,1513.7517058238864,1504.872868510652,23,2014,2015-01-31 15:00:00,4587,victory (0:1) against Crystal Palace
23,1495.8940583654212,1508.2673013919625,24,2014,2015-02-07 17:30:00,4521,draw (0:0) against Liverpool
