,attacking rate,defending rate,tour,season,date,match_id,result
0,1470.0020577349076,1375.582315618495,1,2014,2014-08-16 15:00:00,4751,victory (0:1) against Queens Park Rangers
1,1429.4129199220897,1313.8151027665072,2,2014,2014-08-24 13:30:00,4765,draw (1:1) against Stoke
2,1392.555722124332,1405.175796812333,3,2014,2014-08-31 13:30:00,4776,defeat (2:1) against Aston Villa
3,1333.732259619366,1468.5996285323172,4,2014,2014-09-15 20:00:00,4728,draw (2:2) against West Ham
4,1338.3022435145997,1454.448639503993,5,2014,2014-09-20 15:00:00,4733,draw (2:2) against Newcastle United
5,1378.0747948226303,1441.882653523548,6,2014,2014-09-27 15:00:00,4744,defeat (2:4) against Manchester City
6,1373.2295129983734,1477.4781815504648,7,2014,2014-10-04 15:00:00,4689,victory (2:0) against Crystal Palace
7,1371.304541544665,1472.83741020835,8,2014,2014-10-18 15:00:00,4705,draw (2:2) against Arsenal
8,1349.573686796434,1518.9087976481699,9,2014,2014-10-25 15:00:00,4713,draw (0:0) against Liverpool
9,1331.8521952644805,1497.764799232561,10,2014,2014-11-01 15:00:00,4655,defeat (0:1) against Southampton
10,1317.6758916346885,1499.7280422567994,11,2014,2014-11-08 15:00:00,4660,defeat (1:0) against Burnley
11,1321.3446570048498,1478.9806536462236,12,2014,2014-11-23 16:00:00,4677,defeat (1:2) against Tottenham
12,1312.2481519572102,1471.8278119033141,13,2014,2014-11-29 15:00:00,4683,defeat (3:0) against Manchester United
13,1302.385237756488,1483.1541391271023,14,2014,2014-12-03 19:45:00,4596,draw (1:1) against Everton
14,1295.9825478342004,1476.6461591684752,15,2014,2014-12-06 15:00:00,4603,draw (0:0) against West Bromwich Albion
15,1297.63897661204,1495.528467587624,16,2014,2014-12-13 15:00:00,4610,defeat (2:0) against Chelsea
16,1297.9109930582315,1481.938095059545,17,2014,2014-12-20 15:00:00,4625,defeat (0:1) against Swansea
17,1311.3065368477903,1477.2068147073633,18,2014,2014-12-26 15:00:00,4632,victory (1:3) against Sunderland
18,1329.5023819708535,1494.971522612304,19,2014,2014-12-28 15:00:00,4642,defeat (0:1) against Leicester
19,1354.1028103466997,1497.6715888600158,20,2014,2015-01-01 15:00:00,4558,victory (2:0) against Everton
20,1347.8874258954372,1509.5905371182548,21,2014,2015-01-10 15:00:00,4563,defeat (1:0) against West Bromwich Albion
21,1340.765605700394,1496.0846645962201,22,2014,2015-01-18 13:30:00,4578,defeat (3:0) against West Ham
22,1343.3741517125354,1508.170649983736,23,2014,2015-01-31 12:45:00,4581,defeat (0:3) against Newcastle United
23,1358.2612468042184,1523.9361011544638,24,2014,2015-02-07 15:00:00,4519,draw (1:1) against Manchester City
24,1360.3568166584394,1528.8681335644808,25,2014,2015-02-10 19:45:00,4527,victory (2:0) against Aston Villa
25,1357.7608133009853,1544.39865559734,26,2014,2015-02-21 15:00:00,4540,victory (2:1) against Queens Park Rangers
26,1352.6213250167548,1550.2026247154315,27,2014,2015-02-28 15:00:00,4547,defeat (1:0) against Stoke
27,1363.4309126058442,1540.2038292639204,28,2014,2015-03-03 19:45:00,4483,draw (1:1) against Sunderland
28,1367.244671512338,1550.3905456570126,28,2014,2015-03-14 15:00:00,4495,draw (0:0) against Leicester
29,1381.354658574933,1560.6278230096261,30,2014,2015-03-22 16:00:00,4511,defeat (2:3) against Chelsea
30,1384.089895033412,1554.7035715448358,31,2014,2015-04-04 15:00:00,4444,defeat (3:1) against Swansea
31,1388.8616202772243,1545.5056992312223,32,2014,2015-04-11 15:00:00,4453,defeat (2:0) against Southampton
32,1413.250314699137,1550.9283820339115,34,2014,2015-04-25 15:00:00,4474,victory (0:2) against Crystal Palace
33,1411.6917765298258,1559.2342117244402,34,2014,2015-04-28 19:45:00,4478,victory (1:0) against Liverpool
34,1405.7896010136628,1547.7763233018777,35,2014,2015-05-04 20:00:00,4408,defeat (1:3) against Arsenal
35,1403.7797746157512,1541.9161953155117,36,2014,2015-05-09 15:00:00,4410,defeat (0:1) against Burnley
36,1407.856575066614,1538.6654847180694,37,2014,2015-05-16 15:00:00,4422,defeat (2:0) against Tottenham
37,1410.3441162643783,1549.9754971933876,38,2014,2015-05-24 15:00:00,4435,draw (0:0) against Manchester United
38,1358.6071428288615,1366.6462982799076,1,2016,2016-08-13 15:30:00,461,victory (2:1) against Leicester
39,1510.0539192796384,1421.3607517630048,2,2016,2016-08-20 18:00:00,474,victory (0:2) against Swansea
40,1437.230100168334,1360.3735629125624,3,2016,2016-08-27 20:30:00,488,defeat (0:1) against Manchester United
41,1421.5630687047933,1416.6798772711393,4,2016,2016-09-10 18:00:00,496,draw (1:1) against Burnley
42,1429.9929124539694,1377.4263533082828,5,2016,2016-09-17 18:00:00,502,defeat (1:4) against Arsenal
43,1411.6477998044418,1358.4143874258489,6,2016,2016-09-24 18:00:00,516,defeat (5:1) against Liverpool
44,1380.051644143386,1351.0149331771672,7,2016,2016-10-01 18:00:00,524,defeat (0:2) against Chelsea
45,1355.0054143220457,1320.487640089969,8,2016,2016-10-15 18:00:00,533,defeat (6:1) against Bournemouth
