,attacking rate,defending rate,tour,season,date,match_id,result
0,1531.74206970977,1664.0690744193414,1,2014,2014-08-16 12:45:00,4749,defeat (1:2) against Swansea
1,1483.3374068713997,1701.5793683270476,2,2014,2014-08-24 16:00:00,4767,draw (1:1) against Sunderland
2,1402.4465375251773,1718.4936581554607,3,2014,2014-08-30 12:45:00,4769,draw (0:0) against Burnley
3,1450.7236513258756,1726.5611870841585,4,2014,2014-09-14 16:00:00,4727,victory (4:0) against Queens Park Rangers
4,1489.8582524860824,1611.5291193698786,5,2014,2014-09-21 13:30:00,4736,defeat (5:3) against Leicester
5,1457.7424399825095,1572.7416660613487,6,2014,2014-09-27 15:00:00,4740,victory (2:1) against West Ham
6,1473.6952311020377,1513.8466367576766,7,2014,2014-10-05 12:00:00,4695,victory (2:1) against Everton
7,1482.9112929418247,1555.4364694894177,8,2014,2014-10-20 20:00:00,4708,draw (2:2) against West Bromwich Albion
8,1524.8120264121544,1581.843588900776,9,2014,2014-10-26 16:00:00,4717,draw (1:1) against Chelsea
9,1510.5387479914205,1568.2049623485266,10,2014,2014-11-02 13:30:00,4656,defeat (1:0) against Manchester City
10,1493.782613685079,1589.4087316881833,11,2014,2014-11-08 15:00:00,4661,victory (1:0) against Crystal Palace
11,1515.8101967060568,1582.5504798053403,12,2014,2014-11-22 17:30:00,4675,victory (1:2) against Arsenal
12,1523.0022171465093,1591.3332093163806,13,2014,2014-11-29 15:00:00,4683,victory (3:0) against Hull
13,1535.4680609504067,1576.7257274856609,14,2014,2014-12-02 19:45:00,4591,victory (2:1) against Stoke
14,1533.3672637225036,1562.9124920623244,15,2014,2014-12-08 20:00:00,4608,victory (1:2) against Southampton
15,1543.0072200476368,1535.0914380624545,16,2014,2014-12-14 13:30:00,4616,victory (3:0) against Liverpool
16,1543.8785906123,1543.4422895550006,17,2014,2014-12-20 15:00:00,4624,draw (1:1) against Aston Villa
17,1550.1885429301997,1541.8304972466544,18,2014,2014-12-26 15:00:00,4636,victory (3:1) against Newcastle United
18,1568.1884765113018,1554.9530043793484,19,2014,2014-12-28 12:00:00,4639,draw (0:0) against Tottenham
19,1563.2395888699257,1553.905502321029,20,2014,2015-01-01 12:45:00,4551,draw (1:1) against Stoke
20,1566.3845094339622,1552.9869835688296,21,2014,2015-01-11 16:00:00,4570,defeat (0:1) against Southampton
21,1566.4784312603904,1562.029907898102,22,2014,2015-01-17 15:00:00,4574,victory (0:2) against Queens Park Rangers
22,1565.6817200636694,1570.0884777183837,23,2014,2015-01-31 15:00:00,4583,victory (3:1) against Leicester
23,1565.2960439097906,1578.3763314039065,24,2014,2015-02-08 16:15:00,4524,draw (1:1) against West Ham
24,1562.526868106239,1559.4581719178755,25,2014,2015-02-11 19:45:00,4531,victory (3:1) against Burnley
25,1566.047415968947,1560.4904134041867,26,2014,2015-02-21 15:00:00,4539,defeat (2:1) against Swansea
26,1578.9195445868277,1567.5689048593958,27,2014,2015-02-28 15:00:00,4550,victory (2:0) against Sunderland
27,1586.194196341367,1565.4735441863636,28,2014,2015-03-04 19:45:00,4487,victory (0:1) against Newcastle United
28,1575.342112340134,1580.1998400444068,29,2014,2015-03-15 16:00:00,4501,victory (3:0) against Tottenham
29,1580.279829221335,1593.6026062956355,30,2014,2015-03-22 13:30:00,4510,victory (1:2) against Liverpool
30,1584.5976804583706,1597.6284228526017,31,2014,2015-04-04 15:00:00,4443,victory (3:1) against Aston Villa
31,1596.5533826903568,1591.4892430819684,32,2014,2015-04-12 16:00:00,4459,victory (4:2) against Manchester City
32,1594.9945015168057,1597.2792573528798,32,2014,2015-04-18 17:30:00,4465,defeat (1:0) against Chelsea
33,1587.7857056048606,1597.3388039169577,34,2014,2015-04-26 13:30:00,4476,defeat (3:0) against Everton
34,1592.0232632135226,1602.4045430329998,35,2014,2015-05-02 17:30:00,4405,defeat (0:1) against West Bromwich Albion
35,1602.8458256010622,1602.8646297869568,36,2014,2015-05-09 17:30:00,4415,victory (1:2) against Crystal Palace
36,1594.6828412693208,1605.427965728551,37,2014,2015-05-17 16:00:00,4427,draw (1:1) against Arsenal
37,1583.4871514497092,1603.196445955113,38,2014,2015-05-24 15:00:00,4435,draw (0:0) against Hull
38,1530.0146514007163,1617.5045321303369,1,2015,2015-08-08 15:45:00,81,victory (1:0) against Tottenham
39,1512.877918950427,1642.057185304128,2,2015,2015-08-14 22:45:00,91,victory (0:1) against Aston Villa
40,1506.2220852925495,1651.0218703470816,3,2015,2015-08-22 15:45:00,101,draw (0:0) against Newcastle United
41,1523.550233642384,1657.7410219374606,4,2015,2015-08-30 19:00:00,120,defeat (2:1) against Swansea
42,1535.6639992317898,1645.6185449465486,5,2015,2015-09-12 20:30:00,127,victory (3:1) against Liverpool
43,1556.6073298096585,1626.131027943169,6,2015,2015-09-20 19:00:00,139,victory (2:3) against Southampton
44,1569.94011674597,1616.816670031446,7,2015,2015-09-26 18:00:00,146,victory (3:0) against Sunderland
45,1574.5228264717255,1608.6598376226648,8,2015,2015-10-04 19:00:00,160,defeat (3:0) against Arsenal
46,1583.5620676462236,1622.3818051756348,9,2015,2015-10-17 18:00:00,166,victory (0:3) against Everton
47,1563.1288868997485,1650.6925202356936,10,2015,2015-10-25 18:05:00,179,draw (0:0) against Manchester City
48,1546.076802812356,1653.1956135255791,11,2015,2015-10-31 19:00:00,182,draw (0:0) against Crystal Palace
49,1540.287098529944,1652.8858244834466,12,2015,2015-11-07 19:00:00,193,victory (2:0) against West Bromwich Albion
50,1546.5563591460525,1638.1665091353946,13,2015,2015-11-21 16:45:00,201,victory (1:2) against Watford
51,1545.7256831423956,1647.1665450824773,14,2015,2015-11-28 21:30:00,216,draw (1:1) against Leicester
52,1547.1964615652926,1638.521449568598,15,2015,2015-12-05 19:00:00,226,draw (0:0) against West Ham
53,1556.1611312109085,1633.60741548419,16,2015,2015-12-12 21:30:00,236,defeat (2:1) against Bournemouth
54,1543.5589525915989,1636.6584752788885,17,2015,2015-12-19 19:00:00,246,defeat (1:2) against Norwich
55,1548.2713574790173,1634.413931252231,18,2015,2015-12-26 16:45:00,251,defeat (2:0) against Stoke
56,1549.2565106156865,1633.3671689779994,19,2015,2015-12-28 21:30:00,267,draw (0:0) against Chelsea
57,1552.466585636333,1635.0740219105608,20,2015,2016-01-02 19:00:00,275,victory (2:1) against Swansea
58,1561.4242360128155,1621.1847612478623,21,2015,2016-01-12 23:45:00,281,draw (3:3) against Newcastle United
59,1558.7978970337213,1624.7564703454566,22,2015,2016-01-17 18:05:00,298,victory (0:1) against Liverpool
60,1543.0015073640113,1625.9035389857527,23,2015,2016-01-23 19:00:00,303,defeat (0:1) against Southampton
61,1551.7384583318444,1631.7309347515409,24,2015,2016-02-03 00:00:00,317,victory (3:0) against Stoke
62,1549.7427782028863,1627.1726606067136,25,2015,2016-02-07 20:00:00,330,draw (1:1) against Chelsea
63,1543.4236374386319,1618.9404557640378,26,2015,2016-02-13 16:45:00,331,defeat (2:1) against Sunderland
64,1543.2382224065311,1616.0016337514096,27,2015,2016-02-28 18:05:00,348,victory (3:2) against Arsenal
65,1536.6884828193113,1600.9024494082123,28,2015,2016-03-03 00:00:00,358,victory (1:0) against Watford
66,1526.6410204053204,1606.1155867312425,29,2015,2016-03-06 20:00:00,368,defeat (1:0) against West Bromwich Albion
