,attacking rate,defending rate,tour,season,date,match_id,result
0,1457.9930883098475,1345.7521179337116,1,2015,2015-08-08 18:00:00,85,defeat (1:3) against Crystal Palace
1,1536.188086094439,1508.3400627389346,2,2015,2015-08-15 18:00:00,93,victory (1:3) against Sunderland
2,1614.2496207763534,1548.127851193434,3,2015,2015-08-22 18:00:00,102,draw (1:1) against Stoke
3,1566.2521424868162,1488.173322517353,4,2015,2015-08-30 16:30:00,119,defeat (3:0) against Southampton
4,1548.9380845047729,1520.0571732015028,5,2015,2015-09-12 18:00:00,126,victory (3:1) against Bournemouth
5,1529.0310340576352,1498.7509032610367,6,2015,2015-09-20 19:00:00,140,draw (1:1) against Liverpool
6,1536.4953009782766,1463.2810825313302,7,2015,2015-09-26 18:00:00,147,draw (2:2) against West Ham
7,1522.421558375651,1424.6997908034036,8,2015,2015-10-03 18:00:00,155,defeat (1:2) against Leicester
8,1526.832573802832,1403.293698162279,9,2015,2015-10-18 19:00:00,169,defeat (6:2) against Newcastle United
9,1510.1724329486472,1391.077052452269,10,2015,2015-10-24 18:00:00,174,defeat (0:1) against West Bromwich Albion
10,1526.4743004338109,1388.0238421849394,11,2015,2015-10-31 19:00:00,183,defeat (2:1) against Manchester City
11,1519.2600507565155,1418.3292044121908,12,2015,2015-11-07 19:00:00,194,victory (1:0) against Swansea
12,1500.6106754003656,1411.539128813615,13,2015,2015-11-21 19:00:00,207,defeat (1:0) against Chelsea
13,1503.9143280923888,1418.7311019085573,14,2015,2015-11-29 20:15:00,220,draw (1:1) against Arsenal
14,1487.7318302380068,1409.9062816390533,15,2015,2015-12-05 19:00:00,223,defeat (2:0) against Watford
15,1492.931766387202,1393.967342631978,16,2015,2015-12-12 16:45:00,231,draw (1:1) against Everton
16,1489.2003505667933,1411.2562144387705,17,2015,2015-12-19 19:00:00,246,victory (1:2) against Manchester United
17,1480.8970640845366,1405.8447927550737,18,2015,2015-12-26 19:00:00,253,defeat (3:0) against Tottenham
18,1477.260695714703,1421.936965813483,19,2015,2015-12-28 19:00:00,263,victory (2:0) against Aston Villa
19,1483.4743561983998,1433.0634573771574,20,2015,2016-01-02 19:00:00,276,victory (1:0) against Southampton
20,1470.821606605116,1440.275509289511,21,2015,2016-01-13 23:45:00,285,defeat (3:1) against Stoke
21,1462.4814510413994,1428.1975960269951,22,2015,2016-01-16 19:00:00,296,defeat (3:0) against Bournemouth
22,1464.3662807739006,1427.26087190871,23,2015,2016-01-23 16:45:00,301,defeat (4:5) against Liverpool
23,1463.3484022608118,1415.8990038398497,24,2015,2016-02-02 23:45:00,313,defeat (0:3) against Tottenham
24,1467.5428130294852,1420.2338541330237,25,2015,2016-02-06 19:00:00,326,defeat (2:0) against Aston Villa
25,1462.3801610848836,1429.3139712589887,26,2015,2016-02-13 19:00:00,333,draw (2:2) against West Ham
26,1461.7670572140528,1431.6603580277806,27,2015,2016-02-27 19:00:00,343,defeat (1:0) against Leicester
