,attacking rate,defending rate,tour,season,date,match_id,result
0,1650.7640886183322,1558.4559101748446,1,2014,2014-08-17 13:30:00,4756,defeat (2:1) against Liverpool
1,1509.5062269822126,1606.1744592113585,2,2014,2014-08-23 15:00:00,4762,draw (0:0) against West Bromwich Albion
2,1582.05213639101,1683.722871304249,3,2014,2014-08-30 15:00:00,4774,victory (1:3) against West Ham
3,1609.8019917644788,1642.5083229838597,4,2014,2014-09-13 15:00:00,4722,victory (4:0) against Newcastle United
4,1565.9404084748717,1681.1075803082508,5,2014,2014-09-20 15:00:00,4730,victory (0:1) against Swansea
5,1575.1247497028078,1695.8923498539496,6,2014,2014-09-27 15:00:00,4741,victory (2:1) against Queens Park Rangers
6,1573.0523941486952,1690.2644560336657,7,2014,2014-10-05 14:05:00,4696,defeat (1:0) against Tottenham
7,1614.277237404457,1664.511346722175,8,2014,2014-10-18 15:00:00,4703,victory (8:0) against Sunderland
8,1602.424809281521,1650.5071721973716,9,2014,2014-10-25 15:00:00,4710,victory (1:0) against Stoke
9,1623.9717071811149,1668.5981538496592,10,2014,2014-11-01 15:00:00,4655,victory (0:1) against Hull
10,1590.7051411170357,1672.2029895022447,11,2014,2014-11-08 15:00:00,4663,victory (2:0) against Leicester
11,1581.405470781726,1644.5226046886144,12,2014,2014-11-24 20:00:00,4678,draw (1:1) against Aston Villa
12,1555.2282582789112,1622.5603990670577,13,2014,2014-11-30 13:30:00,4687,defeat (0:3) against Manchester City
13,1546.0414382761628,1606.5474587864894,14,2014,2014-12-03 19:45:00,4598,defeat (1:0) against Arsenal
14,1559.0452578059321,1609.0134288464926,15,2014,2014-12-08 20:00:00,4608,defeat (1:2) against Manchester United
15,1565.9624888832768,1627.5507994541372,16,2014,2014-12-13 15:00:00,4609,defeat (1:0) against Burnley
16,1578.0729975044644,1633.6344349892172,17,2014,2014-12-20 15:00:00,4623,victory (3:0) against Everton
17,1583.444773876954,1649.9600921932536,18,2014,2014-12-26 15:00:00,4635,victory (1:3) against Crystal Palace
18,1570.4872534362823,1668.400648688286,19,2014,2014-12-28 14:05:00,4640,draw (1:1) against Chelsea
19,1586.6121175401172,1676.1461886270918,20,2014,2015-01-01 15:00:00,4555,victory (2:0) against Arsenal
20,1587.4863270809133,1672.6414405385847,21,2014,2015-01-11 16:00:00,4570,victory (0:1) against Manchester United
21,1569.218846911547,1674.5316775765646,22,2014,2015-01-17 17:30:00,4577,victory (1:2) against Newcastle United
22,1567.4794806506065,1680.8583694650347,23,2014,2015-02-01 16:00:00,4514,defeat (0:1) against Swansea
23,1557.543407870188,1679.4942283266819,24,2014,2015-02-07 15:00:00,4520,victory (0:1) against Queens Park Rangers
24,1558.8452802816078,1688.7792287854343,25,2014,2015-02-11 19:45:00,4532,draw (0:0) against West Ham
25,1550.8923779160332,1690.1516216002456,26,2014,2015-02-22 16:15:00,4544,defeat (0:2) against Liverpool
26,1542.2235493119279,1682.418216851939,27,2014,2015-02-28 15:00:00,4546,defeat (1:0) against West Bromwich Albion
27,1552.2058034643987,1685.4122162105714,28,2014,2015-03-03 19:45:00,4484,victory (1:0) against Crystal Palace
28,1569.4888202162492,1669.1909131847585,28,2014,2015-03-15 13:30:00,4499,draw (1:1) against Chelsea
29,1570.6866343821257,1660.0913900397147,30,2014,2015-03-21 15:00:00,4506,victory (2:0) against Burnley
30,1559.8247491313216,1657.9187420795304,31,2014,2015-04-04 15:00:00,4441,defeat (1:0) against Everton
31,1568.9783037795848,1653.3985062511751,32,2014,2015-04-11 15:00:00,4453,victory (2:0) against Hull
32,1573.2474503090396,1635.099782899322,33,2014,2015-04-18 15:00:00,4464,defeat (2:1) against Stoke
33,1569.1135422559632,1640.6869570834508,34,2014,2015-04-25 12:45:00,4468,draw (2:2) against Tottenham
34,1564.38479789092,1623.627188060857,34,2014,2015-05-02 15:00:00,4402,defeat (2:1) against Sunderland
35,1549.0627597102357,1614.8971082681428,36,2014,2015-05-09 15:00:00,4412,defeat (2:0) against Leicester
36,1560.258129426855,1604.7106039553498,37,2014,2015-05-16 12:45:00,4419,victory (6:1) against Aston Villa
37,1557.460593809204,1598.677965146697,38,2014,2015-05-24 15:00:00,4437,defeat (2:0) against Manchester City
38,1562.1789043349918,1572.5394750286737,1,2015,2015-08-09 16:30:00,87,draw (2:2) against Newcastle United
39,1546.1945692214751,1544.9695539020056,2,2015,2015-08-15 15:45:00,92,defeat (0:3) against Everton
40,1536.619343518118,1532.4613194803785,3,2015,2015-08-23 19:00:00,109,draw (0:0) against Watford
41,1564.296350347963,1555.8702902814355,4,2015,2015-08-30 16:30:00,119,victory (3:0) against Norwich
42,1556.0652402447856,1578.8607430760226,5,2015,2015-09-12 18:00:00,125,draw (0:0) against West Bromwich Albion
43,1574.9174848783678,1557.1999209404578,6,2015,2015-09-20 19:00:00,139,defeat (2:3) against Manchester United
44,1575.463468167515,1544.1191386393873,7,2015,2015-09-26 18:00:00,142,victory (3:1) against Swansea
45,1588.0047850424196,1571.1361829197513,8,2015,2015-10-03 20:30:00,157,victory (1:3) against Chelsea
46,1583.583018569752,1542.62099328312,9,2015,2015-10-17 18:00:00,162,draw (2:2) against Leicester
47,1598.932445271114,1560.4748628838597,10,2015,2015-10-25 20:15:00,180,draw (1:1) against Liverpool
48,1584.526790514485,1557.7637883251102,11,2015,2015-11-01 20:00:00,189,victory (2:0) against Bournemouth
49,1587.0581566543176,1573.2717896251456,12,2015,2015-11-07 19:00:00,196,victory (0:1) against Sunderland
50,1569.1429880940848,1565.3012508187687,13,2015,2015-11-21 19:00:00,203,defeat (0:1) against Stoke
51,1576.448236526318,1562.7781333749188,14,2015,2015-11-28 19:00:00,215,defeat (3:1) against Manchester City
52,1587.8118169662391,1554.1645909179942,15,2015,2015-12-05 19:00:00,227,draw (1:1) against Aston Villa
53,1581.1479998618956,1552.9436387605037,16,2015,2015-12-12 19:00:00,234,defeat (1:0) against Crystal Palace
54,1570.5025456715298,1545.876969314573,17,2015,2015-12-19 19:00:00,242,defeat (0:2) against Tottenham
55,1585.0651133544663,1558.4751359157503,18,2015,2015-12-26 23:45:00,260,victory (4:0) against Arsenal
56,1584.3842446921105,1550.391230990866,19,2015,2015-12-28 21:30:00,268,defeat (2:1) against West Ham
57,1575.8182047408834,1545.4942814222459,20,2015,2016-01-02 19:00:00,276,defeat (1:0) against Norwich
58,1580.196070686314,1557.077720246575,21,2015,2016-01-13 23:45:00,284,victory (2:0) against Watford
59,1577.031034835009,1562.3258266879523,22,2015,2016-01-16 19:00:00,294,victory (3:0) against West Bromwich Albion
60,1575.9137691213725,1578.5485833618213,23,2015,2016-01-23 19:00:00,303,victory (0:1) against Manchester United
61,1576.6038946473286,1571.7946950299424,24,2015,2016-02-02 23:45:00,311,draw (0:0) against Arsenal
62,1568.2410413594055,1570.858135494794,25,2015,2016-02-06 21:30:00,328,victory (1:0) against West Ham
63,1567.6728338387295,1575.50657625138,26,2015,2016-02-13 19:00:00,332,victory (0:1) against Swansea
